row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,svc_code,svc_code_type,svc_code_desc,svc_code_ctg,svc_code_ctg_desc,clm_cnt,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
18966371,2019,1,Aitkin,COMMERCIAL,3,45 - 64 years,F,18,87077,CPT/HCPCS,CULTURE AEROBIC IDENTIFY,206,"Microscopic examination (e.g., lab, toxicology)",21,214,"$1,199.78 ",$66.65 ,$67.27 ,$598.92 ,$33.27 ,$31.15 ,$600.86 ,$33.38 ,$2.93 
18970931,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,24,87807,CPT/HCPCS,RSV ASSAY W/OPTIC,206,"Microscopic examination (e.g., lab, toxicology)",29,282,$490.23 ,$20.42 ,$11.75 ,$490.23 ,$20.42 ,$11.75 ,$0.00 ,$0.00 ,$0.00 
18973835,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,20,V2784,CPT/HCPCS,LENS POLYCARBATE/EQUL ANY INDX-LENS,241,Visual aids and other optical supplies,22,221,$531.92 ,$26.59 ,$13.50 ,$531.92 ,$26.59 ,$13.50 ,$0.00 ,$0.00 ,$0.00 
18981035,2019,1,Aitkin,MEDICARE,3,45 - 64 years,F,19,99223,CPT/HCPCS,INITIAL HOSPITAL CARE,302,Hospital inpatient services,62,204,"$10,994.07 ",$578.63 ,$212.12 ,"$9,097.89 ",$478.83 ,$212.12 ,"$1,896.18 ",$99.79 ,$39.92 
18984467,2019,1,Aitkin,MEDICARE,4,65 - 74 years,F,27,96366,CPT/HCPCS,THER/PROPH/DIAG IV INF ADDON,231,Therapeutic procedures - Other,50,320,"$1,316.82 ",$48.77 ,$0.00 ,"$1,287.72 ",$47.69 ,$0.00 ,$29.10 ,$1.07 ,$0.00 
18987275,2019,1,Aitkin,MEDICARE,4,65 - 74 years,M,16,J2543,CPT/HCPCS,INJ PIP SOD/TZ SOD 1 G/0.125 G,240,"Medications (injections, infusions, other forms)",34,186,$336.78 ,$21.04 ,$9.22 ,$325.07 ,$20.31 ,$6.02 ,$11.71 ,$0.73 ,$0.00 
18990035,2019,1,Aitkin,MEDICARE,5,75 years and older,M,32,352,REV,CT Scan/Body,50012,CT scans,39,338,"$3,029.20 ",$94.66 ,$0.00 ,"$2,929.20 ",$91.53 ,$0.00 ,$100.00 ,$3.12 ,$0.00 
18992675,2019,3,Anoka,COMMERCIAL,1,18 years and under,F,17,41899,CPT/HCPCS,DENTAL SURGERY PROCEDURE,29,Oral and dental services,17,203,"$20,409.27 ","$1,200.54 ",$42.77 ,"$16,405.55 ",$965.03 ,$25.66 ,"$4,003.72 ",$235.51 ,$0.00 
18994691,2019,3,Anoka,COMMERCIAL,1,18 years and under,M,16,483,REV,Echocardiology,50017,Cardiology services,26,144,"$35,368.78 ","$2,210.54 ",$0.00 ,"$35,368.78 ","$2,210.54 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
18997979,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,F,35,58611,CPT/HCPCS,LIGATE OVIDUCT(S) ADD-ON,121,Fallopian tubes - Ligation,39,410,"$6,659.35 ",$190.26 ,$186.06 ,"$6,124.53 ",$174.98 ,$181.34 ,$534.82 ,$15.28 ,$0.00 
